SMILES,Vol%,Exp. CN,Exp. YSI,Exp. LHV (MJ/kg),Exp. KV (cSt),Exp. CP (deg. C),Exp. FP (deg. C),Exp. BP (deg. C),Pred. CN,Pred. YSI,Pred. LHV (MJ/kg),Pred. KV (cSt),Pred. CP (deg. C),Pred. FP (deg. C),Pred. BP (deg. C),Abs. Err. CN,Abs. Err. YSI,Abs. Err. LHV (MJ/kg),Abs. Err. KV (cSt),Abs. Err. CP (deg. C),Abs. Err. FP (deg. C),Abs. Err. BP (deg. C)
CCCC1=CC(=C(C=C1)O)OC,0.08331950441000001,18.0,-,-,-,-,-,-,18.55965,171.10522,30.13575,5.6296873,3.001609,106.71063,264.35956,0.5596504211425781,-,-,-,-,-,-
COC1=C(C=CC(=C1)CC=C)O,0.07455425138,-,-,-,-,-,112.0,-,17.463585,204.6052,29.75294,5.806789,8.442735,110.26233,280.35114,-,-,-,-,-,1.7376708984375,-
CCCCCCCCCCCCCCCC1OCC(O1)CC,0.04645513232,-,-,-,-,-,-,-,100.00605,137.36334,34.841736,7.143866,8.633015,172.78238,397.6397,-,-,-,-,-,-,-
COC1=C(C=C(C=C1)C=C)O,0.04017641391,-,-,-,-,-,-,-,16.212662,168.5442,28.773855,5.703438,37.434605,112.85763,254.93053,-,-,-,-,-,-,-
CCCC1=CC=C(C=C1)O,0.015988518519999998,8.6,-,-,-,-,-,-,14.9347105,195.1274,34.214336,4.8163013,22.848112,99.59122,219.39209,6.334710502624512,-,-,-,-,-,-
CC(=O)CCC(=O)O,0.04877124585,-,-,-,-,-,98.0,245.5,-2.386246,18.938128,19.25249,2.3499427,65.51325,97.249374,250.73785,-,-,-,-,-,0.7506256103515625,5.23785400390625
CC=CC1=CC(=C(C=C1)O)OC,0.00410430618,-,-,-,-,-,112.0,266.0,15.799083,196.3288,29.75294,5.75945,10.808632,111.98165,271.33942,-,-,-,-,-,0.01834869384765625,5.33941650390625
CC(=C)C(=O)OC(=O)C(=C)C,0.01697835827,-,-,-,-,-,-,-,3.191432,55.76472,24.262724,1.3546605,-3.3558505,76.53559,178.75792,-,-,-,-,-,-,-
C1=C(OC(=C1)C=O)CO,0.05152235933,-,-,-,-,-,79.0,115.0,13.862777,40.575974,20.212603,6.143018,46.536087,131.48795,122.15236,-,-,-,-,-,52.487945556640625,7.1523590087890625
COC1=C(C=CC(=C1)C=C)O,0.0,-,-,-,-,-,113.0,224.0,15.502211,171.37737,28.773855,5.918862,8.964657,111.53409,261.23895,-,-,-,-,-,1.465911865234375,37.23895263671875
CC(=O)C1=CC(=C(C=C1)O)OC,0.02305191581,-,-,-,-,-,-,-,22.164429,121.96583,25.045221,7.3803306,23.704025,144.61794,301.26135,-,-,-,-,-,-,-
CC(=O)CC1=CC(=C(C=C1)O)OC,0.01617241665,-,-,-,-,-,-,-,26.286362,157.76128,26.366991,7.5860004,36.533825,133.91447,323.222,-,-,-,-,-,-,-
C1=CC=C(C(=C1)O)O,0.00958314564,-,-,-,-,-,127.0,245.5,18.33551,69.32348,24.89204,6.862095,7.188916,129.91478,247.52457,-,-,-,-,-,2.9147796630859375,2.024566650390625
CC1CCC2(CCCC(C2)C)CC1,0.01227993485,-,-,-,-,-,-,-,30.341087,160.70654,43.411392,3.0035644,13.159272,83.99934,246.8345,-,-,-,-,-,-,-
CC1=CC(=C(C=C1)O)O,0.02815212521,-,-,-,-,-,-,-,17.80469,102.6124,26.849434,7.778268,11.281668,149.9862,267.84937,-,-,-,-,-,-,-
COC1=C(C=CC(=C1)CC(=O)O)O,0.0,-,-,-,-,-,-,-,24.88036,127.572044,22.542639,10.71006,53.597248,164.15788,390.6288,-,-,-,-,-,-,-
C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,0.0,-,-,-,-,-,-,-,39.71664,207.71968,36.84531,1.6601042,90.05425,324.86853,937.5061,-,-,-,-,-,-,-
BLEND,-,-,-,-,-,-,-,-,20.078364421458478,108.47420272592454,27.267113984497414,3.4225751782972735,39.545892040745514,100.39258302931411,243.311633770824,-,-,-,-,-,-,-
